ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
331		23v	239	λθ´	Rom 4:18 (III)	5	Unattributed	
332	Orange	23v	240	μ´	Rom 4:19 (I)	1	Unattributed	
333		23v	241	μα´	Rom 4:19 (II)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 424, 1–2	
334	Orange	23v	242	μβ´	Rom 4:20 (I)	1	Unattributed	
335		23v	243	μγ´ 	Rom 4:20 (II)	2	Unattributed	
336		23v	244	μδ´ 	Rom 4:20 (III)	3	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 218, 4–5 	
337		23v	245	με´ 	Rom 4:20 (IV)	4	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 218, 5–7	
338	Orange	23v	246	μϛ´	Rom 4:21	1	Unattributed	
339	Orange	23v	247	μζ´ 	Rom 4:22	1	Unattributed	
340	Orange	23v	248	μη´	Rom 4:23	1	Unattributed	
341	Orange	24r	249	μθ´ 	Rom 4:24	1	Unattributed	
342	Orange	24r	250	ν´	Rom 4:25	1	Unattributed	
343	Orange	24r	251	να´ 	Rom 5:1 (I)	1	Unattributed	
344		24r	251Ph	Φωτ(ίου) 	Rom 5:1 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 492, 29–30, 493, 1–8 	
345		24r	252	νβ´	Rom 5:1 (II)	3	Unattributed	
346	Orange	24r	253	νγ´	Rom 5:2 (I)	1	Unattributed	
347		24r	254	νδ´	Rom 5:2 (II)	2	Unattributed	
348		24r	254Ph	Φωτ(ίου) 	Rom 5:2 (III)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 493, 9–19 	
349		24v	255	νε´ 	Rom 5:2 (III)	4	Unattributed	
350		24v	255Ph	Φωτ(ίου) 	Rom 5:2	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 493, 20–26 	
351	Orange	24v	256	νϛ´	Rom 5:3	1	Unattributed	
352		24v	256Pha	Φωτ(ίου) 	Rom 5:3	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 493, 27–39, 494, 1–7 	
353		24v–25r	256Phb 	Φωτ(ίου) 	Rom 5:3 (IV)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 494, 8–28 	
354	Orange	25r	257	νζ´ 	Rom 5:4	1	Unattributed	
